Open,High,Low,Close,Adj Close,Volume
1.812932,1.804799,1.80325,1.80325,1.443147,38730
1.800926,1.800926,1.743219,1.743219,1.395104,77460
1.743219,1.750578,1.750578,1.750578,1.400994,12910
1.746705,1.758324,1.742832,1.742832,1.394794,64550
1.738572,1.738572,1.738572,1.738572,1.391385,12910
1.72734,1.735086,1.665373,1.665373,1.332804,167830
1.626643,1.649493,1.616961,1.616961,1.29406,309840
1.616961,1.704102,1.611151,1.703715,1.363489,490580
1.673119,1.673119,1.673119,1.673119,1.339003,38730
1.665373,1.703715,1.665373,1.696356,1.3576,77460
1.673119,1.673119,1.666147,1.666147,1.333423,116190
1.673119,1.704102,1.642135,1.68861,1.3514,1665392
1.68861,1.684737,1.549184,1.665373,1.332804,387300
1.665373,1.665373,1.634389,1.653754,1.323505,129100
1.634389,1.647944,1.618897,1.620059,1.296539,219470
1.620059,1.626643,1.587913,1.626643,1.301808,116190
1.626643,1.626643,1.55693,1.618897,1.295609,167830
1.618897,1.615024,1.580942,1.597983,1.278871,296930
1.597983,1.611151,1.572422,1.60418,1.283831,232380
1.60418,1.60418,1.60418,1.60418,1.283831,0
1.60418,1.618897,1.573196,1.618897,1.295609,51640
1.618897,1.642135,1.609215,1.638262,1.311107,1665392
1.638262,1.634389,1.58985,1.628967,1.303668,77460
1.628967,1.657627,1.649881,1.649881,1.320405,25820
1.649881,1.740895,1.704102,1.719207,1.375888,142010
1.719207,1.779625,1.764133,1.777688,1.42269,116190
1.777688,1.802863,1.766457,1.766457,1.413702,154920
1.742832,1.781561,1.719594,1.781561,1.425789,142010
1.781561,1.859021,1.777688,1.851275,1.481582,348570
1.89775,1.971336,1.874512,1.971336,1.577667,374390
1.936093,1.967464,1.89775,1.934156,1.547912,271110
1.934156,1.974435,1.89775,1.967464,1.574568,503490
1.951972,2.052669,1.951972,2.040275,1.632839,490580
2.013939,2.091398,2.013939,2.04957,1.640278,361480
2.04957,2.153366,2.053443,2.13129,1.705679,1420102
2.101855,2.137874,2.091398,2.130515,1.705059,890791
2.130515,2.2072,2.130128,2.166921,1.734194,787511
2.166921,2.166921,2.166921,2.166921,1.734194,0
2.166921,2.176603,2.137874,2.169245,1.736054,568040
2.168857,2.184349,2.168857,2.168857,1.735744,3072584
2.168857,2.184349,2.169245,2.170019,1.736674,361480
2.170019,2.17273,2.168857,2.168857,1.735744,1213541
2.168857,2.176603,2.164985,2.17273,1.738843,542220
2.17273,2.176603,2.168857,2.169245,1.736054,1097351
2.169245,2.176603,2.169245,2.171569,1.737915,942431
2.171569,2.205651,2.16847,2.182026,1.746283,1665392
2.182026,2.182026,2.182026,2.182026,1.746283,0
2.182026,2.169245,2.130515,2.130515,1.705059,180740
2.130515,2.10689,2.068161,2.068161,1.655156,38730
1.983343,2.068161,1.983343,2.039888,1.632529,619680
2.091398,2.091398,2.031367,2.072033,1.658255,154920
2.072033,2.052669,2.029431,2.037564,1.630669,129100
2.037564,2.068161,2.04531,2.058091,1.647097,77460
2.058091,2.091398,2.054605,2.054605,1.644308,129100
2.054605,2.052669,2.029818,2.052669,1.642758,64550
2.052669,2.044923,2.037177,2.037177,1.63036,180740
2.037177,2.058478,2.013939,2.033691,1.62757,271110
2.033691,2.033691,2.033691,2.033691,1.62757,0
2.033691,2.022072,2.013939,2.022072,1.618271,129100
2.022072,2.037177,2.029431,2.029431,1.624161,142010
2.029431,2.021685,2.006193,2.021685,1.617962,64550
2.021685,2.044923,2.006193,2.044923,1.636559,64550
2.052669,2.060415,2.052669,2.053056,1.643068,90370
2.053056,2.067773,2.053056,2.067773,1.654846,90370
2.067773,2.075906,2.056542,2.075906,1.661355,77460
2.075906,2.075906,2.075906,2.075906,1.661355,64550
2.053056,2.130128,2.053056,2.099144,1.679952,374390
2.099144,2.10689,2.075906,2.101081,1.681502,77460
2.091398,2.099144,2.075906,2.091398,1.673753,167830
2.091398,2.091398,2.091398,2.091398,1.673753,0
2.053056,2.097208,2.053056,2.093335,1.675304,555130
2.093335,2.10689,2.060415,2.091398,1.673753,413120
2.091398,2.075906,2.062351,2.062351,1.650506,129100
2.062351,2.052669,2.013939,2.029431,1.624161,90370
1.998447,2.012003,1.982955,2.005806,1.605254,245290
1.990701,2.006193,1.990701,2.00232,1.602464,51640
2.00232,2.029431,1.998447,2.029431,1.624161,193650
2.016263,2.052669,2.016263,2.052669,1.642758,90370
2.052669,2.153366,2.052669,2.130128,1.704749,258200
2.130128,2.176603,2.114636,2.156851,1.726135,529310
2.156851,2.199841,2.099919,2.140585,1.713118,516400
2.140585,2.118509,2.091398,2.107277,1.686461,129100
2.130128,2.207587,2.122382,2.161499,1.729855,387300
2.161499,2.168857,2.130128,2.156077,1.725516,245290
2.156077,2.122382,2.091786,2.091786,1.674064,206560
2.091786,2.122382,2.092173,2.100306,1.680882,77460
2.100306,2.192095,2.114636,2.173505,1.739464,542220
2.173505,2.308284,2.193257,2.249028,1.799905,916611
2.249028,2.285046,2.25445,2.280011,1.824701,645501
2.280011,2.323776,2.285046,2.314481,1.852287,1161901
2.314481,2.269554,2.215333,2.220368,1.776968,710051
2.220368,2.238571,2.146394,2.206038,1.7655,981161
2.206038,2.246317,2.130128,2.207587,1.766739,361480
2.207587,2.190933,2.130128,2.152978,1.723036,451850
2.152978,2.103792,2.037177,2.103792,1.683672,154920
2.103792,2.183962,2.126255,2.176603,1.741943,206560
2.176603,2.184349,2.130515,2.143683,1.715597,271110
2.143683,2.228888,2.168857,2.202552,1.76271,258200
2.202552,2.246317,2.184349,2.184349,1.748142,258200
2.168857,2.176603,2.137874,2.164985,1.732645,77460
2.164985,2.129741,2.091398,2.091398,1.673753,90370
2.091398,2.104954,2.029431,2.042599,1.634699,219470
2.042599,2.122382,2.044923,2.122382,1.69855,180740
2.122382,2.10689,2.091398,2.095271,1.676853,245290
2.095271,2.079779,2.064288,2.064288,1.652057,77460
2.064288,2.052669,2.022072,2.033304,1.62726,503490
2.033304,2.029431,1.959718,2.029431,1.624161,116190
2.029431,2.10689,2.013939,2.10689,1.686152,167830
2.10689,2.10689,2.091398,2.091398,1.673753,64550
2.091398,2.130128,2.091398,2.130128,1.704749,142010
2.130128,2.168857,2.122382,2.130128,1.704749,129100
2.130128,2.180476,2.146394,2.162661,1.730785,400210
2.168857,2.168857,2.153753,2.161112,1.729546,180740
2.176603,2.207587,2.130902,2.207587,1.766739,1445922
2.114636,2.130128,2.107665,2.130128,1.704749,116190
2.125868,2.129353,2.093335,2.109988,1.688631,129100
2.091398,2.122382,2.014326,2.053056,1.643068,77460
2.099144,2.122382,2.099144,2.114636,1.69235,258200
2.091398,2.091398,2.091398,2.091398,1.673753,116190
2.099144,2.10689,2.093335,2.10689,1.686152,322750
2.130128,2.153366,2.10689,2.129741,1.704439,981161
2.157239,2.207587,2.10689,2.161112,1.729546,619680
2.168857,2.184349,2.149493,2.153366,1.723346,426030
2.130128,2.137874,2.130128,2.130128,1.704749,1510472
2.134001,2.137874,2.110763,2.119671,1.69638,296930
2.091398,2.130128,2.052669,2.099144,1.696627,258200
2.089462,2.153366,2.079779,2.129353,1.721044,684231
2.169632,2.192095,2.120445,2.122382,1.715409,180740
2.110763,2.153366,2.099144,2.140198,1.729809,271110
2.129741,2.150267,2.114636,2.150267,1.737948,116190
2.14562,2.14562,2.10689,2.118509,1.712279,77460
2.130128,2.157239,2.118509,2.135163,1.72574,542220
2.168857,2.192095,2.122382,2.134388,1.725113,413120
2.044923,2.129741,2.044923,2.095271,1.693497,413120
2.091011,2.091011,2.068161,2.068935,1.672211,64550
2.075906,2.083652,2.075906,2.081716,1.682541,77460
2.052669,2.053443,2.052669,2.052669,1.659064,116190
2.052669,2.052669,2.013939,2.034853,1.644665,426030
2.060415,2.060415,2.026333,2.029818,1.640595,116190
2.091398,2.091398,2.054605,2.061189,1.66595,361480
2.052669,2.075906,2.052669,2.075906,1.677845,77460
2.075906,2.075906,2.029431,2.029431,1.640282,167830
2.052669,2.122382,2.052669,2.092947,1.691619,271110
2.106503,2.130128,2.075906,2.120445,1.713844,593860
2.091398,2.168857,2.091398,2.132452,1.723548,361480
2.148718,2.157239,2.148718,2.154915,1.741704,51640
2.14562,2.14562,2.120445,2.126255,1.71854,206560
2.114636,2.114636,2.080167,2.087913,1.68755,180740
2.099919,2.099919,2.091398,2.091786,1.69068,154920
2.075906,2.087525,2.038726,2.077843,1.67941,193650
2.091398,2.106503,2.076294,2.086751,1.686611,335660
2.091398,2.10689,2.037564,2.068935,1.672211,529310
2.052669,2.052669,2.025558,2.037177,1.646543,103280
2.052669,2.052669,2.027494,2.029431,1.640282,167830
2.029818,2.052669,2.029431,2.052669,1.659064,103280
2.048796,2.052669,2.048796,2.052669,1.659064,25820
2.037177,2.037177,2.021685,2.029431,1.640282,103280
2.044923,2.052669,2.029431,2.029431,1.640282,38730
2.037177,2.060415,2.029431,2.044923,1.652804,116190
2.064288,2.122382,2.064288,2.09256,1.691306,90370
2.060415,2.060415,2.060415,2.060415,1.665325,12910
2.044923,2.052669,2.029431,2.029431,1.640282,180740
2.052669,2.091398,2.052669,2.075519,1.677532,167830
2.075519,2.075519,2.075519,2.075519,1.677532,0
2.052669,2.052669,2.044923,2.044923,1.652804,25820
2.013939,2.044923,2.013939,2.028269,1.639343,296930
2.013939,2.021685,2.013939,2.013939,1.627761,90370
2.013939,2.013939,2.013939,2.013939,1.627761,103280
2.030205,2.030205,2.021685,2.021685,1.634021,51640
2.014326,2.021685,2.013939,2.013939,1.627761,232380
2.029431,2.029431,2.014326,2.014326,1.628073,51640
2.013939,2.017812,2.013939,2.013939,1.627761,116190
2.013939,2.014714,2.013939,2.014326,1.628073,38730
2.017812,2.044923,2.017812,2.021685,1.634021,51640
2.025558,2.025558,2.015876,2.017037,1.630265,38730
2.017812,2.029431,2.013939,2.029431,1.640282,180740
2.015876,2.050732,2.013939,2.028269,1.639343,284020
2.014714,2.014714,2.013939,2.014326,1.628073,77460
2.015876,2.015876,2.015876,2.015876,1.629326,12910
2.052669,2.052669,2.017812,2.025558,1.637151,38730
2.013939,2.017812,2.013939,2.017812,1.630891,154920
2.013939,2.021685,2.013939,2.013939,1.627761,180740
2.006193,2.013939,2.006193,2.013939,1.627761,142010
